"Region" "Treat" "X" "RegionTreat"
"296" "NA" "Placebo" 0 "NA:Placebo"
"297" "NA" "Placebo" 0 "NA:Placebo"
"298" "NA" "High" 1 "NA:High"
"299" "NA" "High" 0 "NA:High"
"300" "NA" "High" 0 "NA:High"
"301" "NA" "High" 0 "NA:High"
"302" "NA" "Placebo" 0 "NA:Placebo"
"303" "NA" "Placebo" 0 "NA:Placebo"
"304" "NA" "High" 0 "NA:High"
"305" "NA" "Placebo" 0 "NA:Placebo"
"306" "NA" "High" 0 "NA:High"
"307" "NA" "Placebo" 0 "NA:Placebo"
"308" "NA" "Placebo" 0 "NA:Placebo"
"309" "WE" "High" 0 "WE:High"
"310" "WE" "High" 0 "WE:High"
"311" "WE" "High" 0 "WE:High"
"312" "NA" "Placebo" 0 "NA:Placebo"
"313" "NA" "Placebo" 0 "NA:Placebo"
"314" "WE" "High" 0 "WE:High"
"315" "NA" "Placebo" 0 "NA:Placebo"
"316" "NA" "Placebo" 0 "NA:Placebo"
"317" "WE" "High" 0 "WE:High"
"318" "WE" "High" 0 "WE:High"
"319" "WE" "High" 0 "WE:High"
"320" "WE" "High" 0 "WE:High"
"321" "WE" "High" 0 "WE:High"
"322" "WE" "High" 0 "WE:High"
"323" "WE" "High" 0 "WE:High"
"324" "WE" "High" 0 "WE:High"
"325" "WE" "High" 0 "WE:High"
"326" "WE" "High" 0 "WE:High"
"327" "WE" "High" 0 "WE:High"
"328" "WE" "High" 0 "WE:High"
"329" "WE" "High" 0 "WE:High"
"330" "WE" "High" 0 "WE:High"
"331" "WE" "High" 0 "WE:High"
"332" "WE" "High" 0 "WE:High"
"333" "WE" "High" 0 "WE:High"
"334" "WE" "High" 0 "WE:High"
"335" "WE" "High" 0 "WE:High"
"336" "WE" "High" 0 "WE:High"
"337" "WE" "High" 0 "WE:High"
"338" "WE" "High" 0 "WE:High"
"339" "WE" "High" 0 "WE:High"
"340" "WE" "High" 0 "WE:High"
"341" "WE" "High" 0 "WE:High"
"342" "WE" "High" 0 "WE:High"
"343" "WE" "High" 0 "WE:High"
"344" "WE" "High" 0 "WE:High"
"345" "WE" "High" 1 "WE:High"
"346" "WE" "High" 0 "WE:High"
"347" "WE" "High" 0 "WE:High"
"348" "WE" "High" 0 "WE:High"
"349" "WE" "High" 0 "WE:High"
"350" "WE" "High" 0 "WE:High"
"351" "NA" "Placebo" 0 "NA:Placebo"
"352" "NA" "Placebo" 0 "NA:Placebo"
"353" "NA" "Placebo" 0 "NA:Placebo"
"354" "NA" "Placebo" 0 "NA:Placebo"
"355" "NA" "Placebo" 0 "NA:Placebo"
"356" "NA" "Placebo" 1 "NA:Placebo"
"357" "WE" "High" 0 "WE:High"
"358" "WE" "High" 0 "WE:High"
"359" "WE" "High" 0 "WE:High"
"360" "WE" "High" 0 "WE:High"
"361" "WE" "High" 0 "WE:High"
"362" "NA" "Placebo" 0 "NA:Placebo"
"363" "WE" "High" 0 "WE:High"
"364" "NA" "Placebo" 0 "NA:Placebo"
"365" "NA" "High" 0 "NA:High"
"366" "NA" "High" 0 "NA:High"
"367" "NA" "High" 0 "NA:High"
"368" "NA" "Placebo" 1 "NA:Placebo"
"369" "NA" "High" 0 "NA:High"
"370" "NA" "Placebo" 0 "NA:Placebo"
"371" "NA" "High" 1 "NA:High"
"372" "NA" "Placebo" 0 "NA:Placebo"
"373" "NA" "High" 1 "NA:High"
"374" "NA" "Placebo" 0 "NA:Placebo"
"375" "NA" "Placebo" 0 "NA:Placebo"
"376" "NA" "Placebo" 0 "NA:Placebo"
"377" "NA" "Placebo" 0 "NA:Placebo"
"378" "NA" "High" 0 "NA:High"
"379" "NA" "High" 0 "NA:High"
"380" "NA" "High" 0 "NA:High"
"381" "NA" "High" 0 "NA:High"
"382" "NA" "High" 0 "NA:High"
"383" "NA" "Placebo" 1 "NA:Placebo"
"384" "NA" "Placebo" 1 "NA:Placebo"
"385" "NA" "High" 1 "NA:High"
"386" "NA" "High" 0 "NA:High"
"387" "NA" "High" 0 "NA:High"
"388" "NA" "Placebo" 0 "NA:Placebo"
"389" "NA" "High" 0 "NA:High"
"390" "NA" "High" 0 "NA:High"
"391" "NA" "Placebo" 0 "NA:Placebo"
"392" "NA" "Placebo" 0 "NA:Placebo"
"393" "NA" "High" 0 "NA:High"
"394" "NA" "Placebo" 0 "NA:Placebo"
"395" "NA" "High" 0 "NA:High"
"396" "NA" "Placebo" 0 "NA:Placebo"
"397" "NA" "Placebo" 1 "NA:Placebo"
"398" "NA" "Placebo" 0 "NA:Placebo"
"399" "NA" "Placebo" 0 "NA:Placebo"
"400" "WE" "High" 0 "WE:High"
"401" "WE" "High" 0 "WE:High"
"402" "WE" "High" 0 "WE:High"
"403" "NA" "Placebo" 1 "NA:Placebo"
"404" "NA" "Placebo" 0 "NA:Placebo"
"405" "WE" "High" 0 "WE:High"
"406" "NA" "Placebo" 0 "NA:Placebo"
"407" "NA" "Placebo" 0 "NA:Placebo"
"408" "NA" "Placebo" 0 "NA:Placebo"
"409" "NA" "Placebo" 0 "NA:Placebo"
"410" "WE" "High" 0 "WE:High"
"411" "WE" "High" 0 "WE:High"
"412" "WE" "High" 0 "WE:High"
"413" "WE" "High" 1 "WE:High"
"414" "WE" "High" 0 "WE:High"
"415" "WE" "High" 0 "WE:High"
"416" "WE" "High" 0 "WE:High"
"417" "WE" "Placebo" 0 "WE:Placebo"
"418" "WE" "Placebo" 0 "WE:Placebo"
"419" "WE" "High" 0 "WE:High"
